SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,SOMZWCG12A8C13C480,300848,Fear Itself,ARD7TVE1187B99BFB1,,California - LA,,Casual,0.0,218.93178999999998,1,0.736,92.198,4,0.778,I Didn't Mean To,
2,SOCIWDW12A8C13D406,300822,Dimensions,ARMJAGH1187FB546F3,35.14968,Memphis TN,-90.04892,The Box Tops,0.0,148.03546,6,0.16899999999999998,121.274,4,0.384,Soul Deep,1969.0
3,SOXVLOJ12AB0189215,514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,,,,Sonora Santanera,0.0,177.47546,8,0.643,100.07,1,0.0,Amor De Cabaret,
4,SONHOTT12A8C13493C,287650,Friend Or Foe,AR7G5I41187FB4CE6C,,London England,,Adam Ant,0.0,233.40363,0,0.7509999999999999,119.29299999999999,4,0.0,Something Girls,1982.0
5,SOFSOCN12A8C143F5D,611336,Muertos Vivos,ARXR32B1187FB57099,,,,Gob,0.0,209.60608,2,0.092,129.738,4,0.562,Face the Ashes,2007.0
6,SOYMRWW12A6D4FAB14,41838,Ordinary Day,ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,0.0,267.7024,5,0.635,147.782,3,0.45399999999999996,The Moon And I (Ordinary Day Album Version),
7,SOMJBYD12A6D4F8557,25824,Da Ghetto Psychic,ARD0S291187B9B7BF5,,Ohio,,Rated R,0.0,114.78159,1,0.0,111.787,1,0.0,Keepin It Real (Skit),
8,SOHKNRJ12A6701D1F8,8876,Gin & Phonic,AR10USD1187B99F3F1,,Burlington Ontario Canada,,Tweeterfriendly Music,0.0,189.57016000000002,4,0.0,101.43,3,0.408,Drop of Rain,
9,SOIAZJW12AB01853F1,358182,Pink World,AR8ZCNI1187B9A069B,,,,Planet P Project,0.0,269.81832,4,0.7170000000000001,86.64299999999999,4,0.48700000000000004,Pink World,1984.0
10,SOUDSGM12AC9618304,692313,Superinstrumental,ARNTLGG11E2835DDB9,,,,Clp,0.0,266.39628,7,0.053,114.041,4,0.878,Insatiable (Instrumental Version),
11,SOQHXMF12AB0182363,539081,I Need You,ARGSJW91187B9B1D6B,35.21962,North Carolina,-80.01955,JennyAnyKind,0.0,218.77506,5,0.354,146.765,1,0.0,Young Boy Blues,
12,SOKEJEJ12A8C13E0D0,163874,The Way Home,ARC43071187B990240,,Wisner LA,,Wayne Watson,0.0,245.21097999999998,7,0.07,117.975,4,0.835,The Urgency (LP Version),
13,SOMUYGI12AB0188633,575792,Placer & Castigo,ARL7K851187B99ACD2,,,,Andy Andy,0.0,226.35057,9,0.205,130.04,4,0.0,La Culpa,
14,SORAMLE12AB017C8B0,815863,Arrivederci,ARHHO3O1187B989413,,,,Bob Azzam,0.0,191.84281000000001,10,0.0,137.334,1,0.319,Auguri Cha Cha,
15,SOBONFF12A6D4F84D8,25811,Dancing On The Ceiling,ARIK43K1187B9AE54C,,Beverly Hills CA,,Lionel Richie,0.0,307.3824,3,0.524,125.197,3,0.21100000000000002,Tonight Will Be Alright,1986.0
16,SOHUOAP12A8AE488E9,135122,Outskirts,ARD842G1187B997376,43.648559999999996,Toronto Ontario Canada,-79.38533000000001,Blue Rodeo,0.0,491.12771,7,1.0,119.82600000000001,4,0.7559999999999999,Floating,1987.0
17,SOUQQEA12A8C134B1B,149958,Cross Currents,ARIG6O41187B988BDD,37.16793,United States,-95.84501999999999,Richard Souther,0.0,228.5971,8,0.040999999999999995,127.756,5,0.579,High Tide,
18,SOILPQQ12AB017E82A,535188,Panjtan Ka Ghulam,AR1ZHYZ1187FB3C717,,,,Faiz Ali Faiz,0.0,599.24853,6,0.06,99.273,4,0.158,Sohna Nee Sohna Data,
19,SOXLBJT12A8C140925,372309,Gold,ARYKCQI1187FB3B18F,,,,Tesla,0.0,290.29832000000005,7,0.725,150.062,4,0.9309999999999999,Caught In A Dream,2004.0
